compound_name,GPCR_PME,relative_tmd_1,relative_tmd_2,relative_tmd_3,relative_tmd_4,relative_tmd_5,relative_tmd_6,relative_tmd_7,adjusted_tmd_delta_G_1,adjusted_tmd_delta_G_2,adjusted_tmd_delta_G_3,adjusted_tmd_delta_G_4,adjusted_tmd_delta_G_5,adjusted_tmd_delta_G_6,adjusted_tmd_delta_G_7,relative_N_terminal_loop_length,relative_downstream_loop_length_1,relative_upstream_loop_length_1,relative_downstream_loop_length_2,relative_upstream_loop_length_2,relative_downstream_loop_length_3,relative_upstream_loop_length_3,relative_C_terminal_loop_length,Molecular_Weight,Isoelectric_Point,Aromaticity,instability_index,gravy,sasa_total,sasa_crg,sasa_plr,sasa_aplr,f_crg,f_plr,f_aplr,alpha_helix,3_10_helix,extended_configuration,isolated_beta_bridge,turn,coil,CAI,Nc,GC3s,CpG_frame1_2,avgCU,CPS_sum,CPSpL,Global_tAI,tAI10Min,tAI10Max,tAI10q25.25.,tAI10q75.75.,avgCU_first20,avgCU_first10,avgCU_first5,GC,GC10min,GC10q25,GC10q75,GC10max,X40deltaG,X40freqens,plus10valRNAss,zeroto38avgRNAss,zeroto38minRNAss,zeroto38q25RNAss,zeroto38q75RNAss,zeroto38maxRNAss,deltaG,freqens,avgRNAss,minRNAss,q25RNAss,q75RNAss,maxRNAss
ENST00000486284,6415.48359,0.07668712,0.06748466,0.05828221,0.06441718,0.07668712,0.06441718,0.07668712,-2.5451008,-2.4510237,-0.1200403,-0.0196856,0.1886465,-1.0284398,1.2924629,0,0.0398773,0.02147239,0.08282209,0.08282209,0.04907975,0.01533742,0.22392638,103068.845,8.19098225,0.09002169,31.7352495,-0.0989154,54242.7289,20222.9193,13774.5762,20245.2334,0.37282268,0.25394327,0.37323405,0.44360087,0.02386117,0.14099783,0.0043384,0.18004338,0.20715835,0.188,58.22,0.414,0.029,0.548954918,8.110005403,0.016652989,0.343408,0.042747,0.629197,0.355303,0.468704,0.627,0.677,0.592,0.507849829,0.3,0.433333333,0.566666667,0.8,-35.8,40.98,0.625805606,0.554916453,0.419221151,0.483191587,0.616772175,0.799618603,-420,294.73,0.578302865,0.00121024,0.462788063,0.703843319,0.99207975
ENST00000357716,6473.23942,0.07668712,0.06748466,0.05828221,0.06441718,0.07668712,0.06441718,0.07668712,-2.5451008,-2.4510237,-0.1200403,-0.0196856,0.1886465,-1.0284398,1.2924629,0,0.0398773,0.02147239,0.08282209,0.08282209,0.04907975,0.01533742,0.22392638,102249.862,8.20052357,0.09071038,32.4050273,-0.1006557,52813.2548,20218.142,13236.4167,19358.6961,0.38282325,0.25062679,0.36654995,0.4579235,0.01748634,0.1420765,0.00546448,0.19562842,0.18142077,0.192,53.25,0.404,0.011,0.529291101,140.8948919,0.070872682,0.293634,0.006612,0.791367,0.179522,0.462954,0.7865,0.787,0.636,0.395676219,0.06666667,0.3,0.466666667,0.866666667,-32.9,13.08,0.816114503,0.794351069,0.598754562,0.728979255,0.894147101,0.969154833,-1669.7,1555.96,0.597810568,0.01411408,0.481878579,0.741321781,0.997878239
ENST00000538487,6339.23832,0.07668712,0.06441718,0.05828221,0.06441718,0.06748466,0.06441718,0.07668712,-2.6780121,-1.5270664,0.32835045,-0.9988204,-1.209516,-0.7707638,1.39813423,0,0.0398773,0.02453988,0.08282209,0.09202454,0.04907975,0.01533742,0.22392638,101866.672,9.06742992,0.09429825,36.625,-0.0930921,53541.6824,20972.3353,11639.7939,20929.5533,0.39170109,0.21739686,0.39090205,0.41008772,0.03070175,0.14692982,0.00548246,0.19736842,0.20942982,0.157,49.72,0.661,0.109,0.62207024,92.51901412,0.171331508,0.441784,0.035858,0.745911,0.404855,0.539059,0.6975,0.651,0.658,0.684729064,0.233333333,0.633333333,0.775,1,-52.9,24.49,0.635221778,0.634207275,0.465242531,0.50289925,0.707235714,0.87719075,-782.5,431.23,0.66472935,0.14448728,0.565104691,0.77677943,0.999573461
ENST00000706917,6467.82601,0.07668712,0.06748466,0.07055215,0.06441718,0.06748466,0.06441718,0.06441718,-1.8053941,-1.7140331,-0.0402454,-0.7337614,-0.2722714,-1.3134975,1.80556302,0,0.0398773,0.00920245,0.08282209,0.09202454,0.04907975,0.02760736,0.22392638,101739.405,8.48579617,0.09801762,35.4544163,-0.0490088,52787.4131,20596.934,13165.8117,19024.6674,0.39018646,0.24941195,0.36040159,0.4339207,0.02422907,0.14757709,0.00550661,0.19493392,0.1938326,0.177,55.7,0.526,0.033,0.574067633,260.3354557,0.083870959,0.36763,0.009748,0.733339,0.339569,0.497008,0.522,0.495,0.54,0.546420522,0.06666667,0.466666667,0.633333333,0.966666667,-58.2,17.35,0.813921227,0.8062033,0.674135932,0.782728077,0.842262218,0.982850482,-4122.3,2392.16,0.689464943,0.01267262,0.588007779,0.806634197,0.999689855
ENST00000389858,242.912653,0.06082725,0.05596107,0.05839416,0.05839416,0.06082725,0.06082725,0.05839416,-4.1567563,0.4508008,0.65731032,-0.3092306,-2.1856535,-0.8844125,1.6573131,0,0.02189781,0.0486618,0.04136253,0.05109489,0.0486618,0.01703163,0.35766423,101665.781,5.98067837,0.09600863,42.6441424,0.17357066,59623.4902,18048.82,18035.3219,23539.3484,0.30271324,0.30248685,0.39479991,0.29341963,0.02265372,0.0819849,0.00647249,0.32470334,0.27076591,0.169,52.02,0.36,0.007,0.530024272,24.22023588,0.058930014,0.307537,0.008162,0.658011,0.274716,0.473176,0.5135,0.642,0.642,0.356796117,0.1,0.3,0.4,0.6,-14.5,20.45,0.600493587,0.506271161,0.314354503,0.388671399,0.596604031,0.68372801,-281.8,292.54,0.56282838,0.02689326,0.42694419,0.712791923,0.991644744
ENST00000358373,6534.15844,0.07668712,0.06748466,0.07055215,0.06441718,0.06748466,0.06441718,0.06441718,-1.8053941,-1.7140331,-0.0402454,-0.7337614,-0.2722714,-1.3134975,1.80556302,0,0.0398773,0.00920245,0.08282209,0.09202454,0.04907975,0.02760736,0.22392638,101607.352,8.48734341,0.0969163,35.6452753,-0.0431718,53227.5079,20938.6118,12574.1379,19714.7583,0.39337952,0.23623383,0.37038665,0.42731278,0.02422907,0.14977974,0.00330397,0.20264317,0.19273128,0.157,47.49,0.347,0.018,0.492421053,23.76806026,0.06271256,0.200088,0.016424,0.633383,0.125638,0.4126,0.5695,0.572,0.596,0.362281,0.166666667,0.3,0.433333333,0.566666667,-20.3,35.14,0.633623894,0.75500013,0.561518581,0.69855883,0.793277859,0.96055091,-268.3,336.01,0.58914925,0.106699274,0.475033396,0.707934171,0.995199169
ENST00000377016,137.444708,0.06738544,0.04851752,0.06469003,0.06469003,0.06469003,0.06469003,0.06199461,-0.8372967,0.82916707,-0.0994641,-0.3931852,-0.5659523,-0.0583747,-1.0805488,0,0.04312668,0.04043127,0.05121294,0.09703504,0.0296496,0.01347709,0.2884097,101541.451,8.49901218,0.10011123,46.1010234,-0.2179088,54959.8404,22224.6937,12757.6729,19977.4738,0.40438061,0.23212718,0.36349221,0.4538376,0.0189099,0.16685206,0.00333704,0.18576196,0.17130145,0.169,49.24,0.431,0.005,0.544356164,27.74487065,0.076222172,0.265625,0.031645,0.61557,0.164073,0.446936,0.5535,0.576,0.65,0.400547445,0.2,0.333333333,0.466666667,0.666666667,-19.8,28.99,0.797732997,0.652015195,0.421477363,0.563854818,0.723563707,0.82522115,-274.5,336.98,0.570943733,0.06879356,0.450177873,0.692925299,0.998276777
ENST00000371253,465.642754,0.07716049,0.06790123,0.07716049,0.07716049,0.07407407,0.06481481,0.07716049,-2.1740176,-0.3979027,-5.1434377,0.12466089,-2.1161073,0.59852224,-0.8938081,0,0.0308642,0.06790123,0.01851852,0.06790123,0.07407407,0.01234568,0.21296296,101363.434,8.90658131,0.1010989,36.8208901,0.18450549,58697.7993,18163.0686,17065.7809,23468.9498,0.30943355,0.29073971,0.39982674,0.42637363,0.01208791,0.18571429,0.0032967,0.16703297,0.20549451,0.192,54.87,0.362,0.045,0.522808765,71.18975289,0.070976822,0.314559,0.009124,0.690539,0.220197,0.4842,0.731,0.681,0.724,0.425016589,0.06666667,0.3,0.566666667,0.833333333,-42.4,13.83,0.623045228,0.614817566,0.37712925,0.558640499,0.693350987,0.739572295,-837.3,1062.65,0.593197507,0.00254591,0.482566726,0.72640774,0.988505987
ENST00000266674,282.574777,0.07062147,0.06214689,0.06214689,0.06779661,0.07062147,0.06779661,0.06779661,-0.87625,1.28178635,1.05034421,-2.5014712,-1.9717906,0.66079238,-0.0582291,0,0.02259887,0.08474576,0.0480226,0.05932203,0.05649718,0.02259887,0.23728814,99996.9048,6.12425365,0.08379272,51.2784013,0.25071665,55699.3793,16696.5128,16227.5072,22775.3592,0.2997612,0.2913409,0.4088979,0.2954796,0.01764057,0.09371555,0.00661522,0.31973539,0.26681367,0.215,48.47,0.603,0.01,0.631965812,45.71303663,0.078275748,0.375313,0.056863,0.677252,0.335601,0.492957,0.456,0.389,0.34,0.474672738,0.233333333,0.4,0.533333333,0.7,-30.2,40.05,0.592395084,0.599652807,0.443794589,0.542886986,0.659709639,0.748091795,-530.5,433.45,0.593476385,0.03902336,0.484961102,0.727799163,0.996071534
ENST00000535015,2367.33209,0.0751634,0.06535948,0.07189542,0.07843137,0.08169935,0.07843137,0.06862745,-1.1688085,-0.3078626,0.01504624,-0.7563808,-2.0286836,0.23114071,1.18688413,0,0.04575163,0.02614379,0.05555556,0.05228758,0.0620915,0.02614379,0.2124183,99982.4922,8.28297863,0.11037528,33.9608278,0.14172185,57419.7914,17183.3015,17809.1213,22427.3686,0.29925747,0.3101565,0.39058603,0.36865342,0.03532009,0.19094923,0.00993378,0.15783664,0.23730684,0.195,51.58,0.389,0.013,0.526618705,40.016378,0.072101582,0.320377,0.009843,0.730523,0.324034,0.479017,0.5585,0.491,0.464,0.458033573,0.06666667,0.4,0.533333333,0.7,-38.2,21.35,0.726246755,0.67655535,0.434842101,0.533381996,0.794166149,0.897546188,-468.3,644.69,0.59887755,0.00255146,0.482516642,0.738530841,0.99647074
ENST00000361669,6389.56508,0.08196721,0.07540984,0.07540984,0.06885246,0.07540984,0.07540984,0.06885246,-0.9210466,-1.3793473,0.60001068,-2.3899092,-0.2526221,-1.6126211,0.4516266,0,0.03934426,0.01311475,0.08852459,0.08852459,0.03278689,0.02295082,0.19344262,98877.9845,7.93052998,0.11035267,42.6817065,0.01228669,50042.448,17814.2531,13914.227,18313.9679,0.35598285,0.27804849,0.36596866,0.42434585,0.03640501,0.1513083,0.00455063,0.20819113,0.17519909,0.22,45.77,0.702,0.033,0.676901763,78.89531706,0.099489681,0.445862,0.133044,0.82487,0.404692,0.526554,0.7345,0.724,0.714,0.603021402,0.366666667,0.566666667,0.666666667,0.766666667,-30.3,10.44,0.31571623,0.474204564,0.218926244,0.342053734,0.591168304,0.727867495,-910.8,498.61,0.616914604,0.01778054,0.511416495,0.746158655,0.997562202
ENST00000540815,268.684483,0.07062147,0.06214689,0.06214689,0.06779661,0.07062147,0.06779661,0.06779661,-0.87625,1.28178635,1.05034421,-2.5014712,-1.9717906,0.66079238,-0.0582291,0,0.02259887,0.08474576,0.0480226,0.05932203,0.05649718,0.02259887,0.23728814,97402.9724,6.04740734,0.08380521,51.1079388,0.25673839,54275.4916,16236.957,16033.296,22005.2386,0.29915817,0.29540582,0.40543601,0.31257078,0.01812005,0.08607022,0.01132503,0.31143828,0.26047565,0.161,53.98,0.518,0.037,0.576472248,107.5107602,0.101234238,0.419272,0.046408,0.733355,0.38476,0.507833,0.659,0.648,0.552,0.582758621,0.2,0.533333333,0.666666667,0.833333333,-40.2,33.71,0.42939311,0.593141321,0.309822462,0.506728136,0.69635977,0.874598565,-1243.6,916.2,0.631318136,0.01536283,0.514245517,0.767514088,0.999848063
ENST00000261654,1546.09,0.0751634,0.06535948,0.07189542,0.07843137,0.08169935,0.07843137,0.06862745,-1.1688085,-0.3078626,0.01504624,-0.7563808,-2.0286836,0.23114071,1.18688413,0,0.04575163,0.02614379,0.05555556,0.05228758,0.0620915,0.02614379,0.2124183,96528.7218,8.02175274,0.11098398,33.6354805,0.15594966,56384.9593,17313.5142,17086.2293,21985.2158,0.30705909,0.30302814,0.38991277,0.39702517,0.03089245,0.19107551,0.00686499,0.14874142,0.22540046,0.188,56.44,0.432,0.027,0.546617544,124.7006989,0.087570716,0.355517,0.047265,0.699021,0.332047,0.474476,0.8015,0.875,0.97,0.488426467,0.1,0.4,0.566666667,0.9,-56,54.22,0.621326052,0.762850492,0.387351142,0.625413745,0.912960902,0.94047499,-1391.9,1052.94,0.61035813,0.00315499,0.494000253,0.744121035,0.998530469
ENST00000381404,168.836778,0.0877193,0.07017544,0.0877193,0.08421053,0.0877193,0.08421053,0.08421053,-3.464017,-0.4644832,-3.3035398,1.50652533,-2.0653603,-0.2127496,0.55946656,0,0.02807018,0.05614035,0.04210526,0.06315789,0.06315789,0.0245614,0.13684211,95943.5662,6.42606869,0.09342561,45.6625144,0.04936563,59149.0055,19153.0773,17600.1662,22395.7621,0.32381064,0.29755642,0.37863294,0.34025375,0.03575548,0.21337947,0.00576701,0.25720877,0.14763552,0.196,51.38,0.359,0.091,0.523850416,50.30672628,0.139740906,0.411542,0.058152,0.673913,0.400982,0.511493,0.537,0.482,0.56,0.566421,0.4,0.533333333,0.6,0.766666667,-33.5,28.67,0.554282672,0.541092282,0.409992612,0.52078685,0.56286233,0.633987132,-345.2,305.81,0.578428219,0.02316322,0.483769072,0.705529203,0.972402474
ENST00000395052,6449.13868,0.08143322,0.06840391,0.0781759,0.06840391,0.07166124,0.07491857,0.0781759,-1.1418119,-2.3003294,1.02017923,-1.2705571,-0.3367152,-1.6126211,1.22840237,0,0.04560261,0.01628664,0.08143322,0.08794788,0.03583062,0.0228013,0.18892508,95566.7247,8.50313816,0.10321101,37.3222592,0.09850917,47077.5206,16361.7265,10570.3466,20145.4476,0.3475486,0.22453066,0.42792074,0.42431193,0.03325688,0.15137615,0.00458716,0.20527523,0.18119266,0.19,55.58,0.565,0.042,0.593980464,61.74151491,0.075478625,0.374625,0.072923,0.720606,0.343486,0.492703,0.665,0.656,0.57,0.495117982,0.133333333,0.333333333,0.633333333,0.933333333,-63.2,32.79,0.627672138,0.641195341,0.461100545,0.603034288,0.70778483,0.761104972,-837.3,766.7,0.623856317,0.00268205,0.510581804,0.762681008,0.998002169
ENST00000650031,1334.24174,0.08532423,0.07167235,0.07508532,0.07508532,0.07508532,0.07167235,0.08532423,-0.742214,-2.2155529,1.05806804,0.19466781,-0.5086353,-1.0848722,1.466135,0,0.0443686,0.01706485,0.09215017,0.09897611,0.05460751,0.01706485,0.13651877,95466.6506,8.34312763,0.08323831,39.422805,0.01197263,47440.3627,17647.9277,9966.72351,19825.7115,0.37200238,0.21008953,0.41790809,0.43215507,0.02166477,0.15393387,0.00342075,0.21436716,0.17445838,0.221,36.26,0.852,0.069,0.737332054,71.42728045,0.137360155,0.47016,0.282698,0.689182,0.420585,0.536718,0.7695,0.729,0.58,0.679028133,0.466666667,0.633333333,0.733333333,0.933333333,-45.9,36.9,0.547823924,0.511933343,0.27802605,0.362638408,0.600545778,0.728917662,-804.7,199.39,0.69179181,0.05694014,0.59519346,0.798856079,0.99982722
ENST00000375371,229.006936,0.08759124,0.0729927,0.09124088,0.08759124,0.08029197,0.08029197,0.08394161,-2.9679326,-1.1335161,-0.5861267,-0.2997921,1.49726031,1.66154438,0.11465417,0,0.04744526,0.04379562,0.06934307,0.09124088,0.04014599,0.01094891,0.11313869,95182.3686,6.07878246,0.11918951,43.0100477,0.2045292,42127.7938,12556.0371,12681.5119,16890.2448,0.2980464,0.30102483,0.40092878,0.4636472,0.02979738,0.14779499,0,0.18116806,0.17759237,0.196,49.69,0.637,0.035,0.636149341,78.44912079,0.115028036,0.411391,0.08454,0.734955,0.370813,0.502717,0.7545,0.835,1,0.53876158,0.06666667,0.466666667,0.6,0.866666667,-39.9,40.14,0.515737087,0.596313391,0.43582234,0.506612601,0.702242362,0.756913704,-768.9,584.42,0.636436329,0.00286888,0.532003505,0.768819835,0.984742779
ENST00000377012,143.954526,0.06738544,0.04851752,0.06469003,0.06469003,0.06469003,0.06469003,0.06199461,-0.8372967,0.82916707,-0.0994641,-0.3931852,-0.5659523,-0.0583747,-1.0805488,0,0.04312668,0.04043127,0.05121294,0.09703504,0.0296496,0.01347709,0.2884097,95147.2413,8.68416538,0.10189573,50.2379384,-0.1920616,51945.1666,20687.2074,11512.4748,19745.4843,0.39825086,0.22162745,0.38012169,0.47630332,0.02725118,0.14099526,0.00118483,0.16232227,0.19194313,0.172,53.69,0.571,0.033,0.594691689,187.5110079,0.100596034,0.392756,0.0048,0.751809,0.369507,0.511042,0.5855,0.639,0.544,0.574236198,0.1,0.5,0.666666667,0.9,-17.1,21.47,0.441809881,0.647205569,0.340619604,0.474826315,0.829348216,0.947724554,-2305.3,1282.71,0.652382018,0.00263694,0.5329019,0.793304212,0.999401748
ENST00000339381,121.522537,0.08421053,0.06666667,0.06315789,0.0877193,0.05614035,0.08421053,0.08421053,-4.8119866,-1.9974904,2.91045934,-3.1770164,0.35559373,-0.5743486,-1.8076086,0,0.04912281,0.04912281,0.07719298,0.11929825,0.02105263,0.03859649,0.11929825,93385.0213,6.75329075,0.09389671,43.5926056,0.18697183,44303.6318,13735.491,11078.282,19489.8588,0.31003081,0.25005359,0.4399156,0.44483568,0.03755869,0.15023474,0.00704225,0.14553991,0.21478873,0.224,47.13,0.679,0.029,0.661629834,59.47798079,0.082265534,0.42216,0.114936,0.701002,0.381323,0.501516,0.671,0.657,0.534,0.550391164,0.166666667,0.5,0.633333333,0.8,-40.6,31.99,0.760626526,0.597766314,0.273801012,0.441013104,0.729106094,0.844615099,-795,499.79,0.618522057,0.03503254,0.479238082,0.776576659,0.99861016
